Sr. No.,Date,Temp,Humidity,Max Potential Solar Radiation (W/mÂ²),pH,TDS,Green Area,Height
1,2/1/2025,22.505,31.4,258.47,5.2,417.27,13090,7.22
2,3/1/2025,20.95,30.8,266.0,4.9,420.0,13844,7.5
3,6/1/2025,22.35,41.5,288.58,5.50,428.18,16211,8.00
4,7/1/2025,21.55,38.3,296.11,6.00,430.91,16211,12.00
5,8/1/2025,21.2,44.6,303.64,6.86,433.64,20080,15.00
6,9/1/2025,19.6,42.1,311.16,5.30,436.36,20080,18.00
7,10/1/2025,19.75,39.7,318.69,5.00,439.09,29541,24.00
8,11/1/2025,21.75,47.8,326.22,5.70,441.82,29541,37.00
9,13/1/2025,23.25,36.2,341.27,6.81,447.27,31469,42.00
10,14/1/2025,23.15,38.9,348.80,5.80,450.00,35317,54.00
11,15/1/2025,23.15,43.6,356.33,6.00,452.73,35638,62.00
12,16/1/2025,23.9,44.8,363.85,6.78,455.45,41804,70.00
13,17/1/2025,28,45,348.8,5.5,686,62767,80
14,20/1/2025,21.7,32.9,361.1,5.3,650,68764,90
15,21/1/2025,28.1,35.6,365.3,5.4,663,92193,100
16,22/1/2025,23.9,32.4,368.3,5.3,670,92193,110
17,23/1/2025,27,36,369.9,5.3,660,112148,125
18,24/1/2025,25.6,49.7,370,5.3,745,112148,132
19,25/1/2025,30.1,35.6,383.9,4.8,830,126453,138
20,27/1/2025,30,20,393.9,4.5,968,129241,145
21,28/1/2025,32,21,369.1,5.3,678,154278,152
22,30/1/2025,33,22,409.5,5.2,1150,166727,172
23,31/1/2025,28,30,420.55,5.35,1175,166727,190
24,3/2/2025,29.8,35,431.6,5.5,1200,189477,205